gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-16.722,19.0969,-2.7455,0.0007,25.5314,0.2087,0.0,25.4423,0.058,0.0006,0.0,0.0003,0.0005,-0.0002,STILL
-16.6745,19.0088,-2.562,0.0008,25.4152,0.1162,0.0001,25.5089,0.0278,0.0007,0.0,0.0003,0.0005,-0.0002,STILL
-16.8896,18.907,-2.809,0.0007,25.5073,0.0921,0.0001,25.5602,0.0118,0.0007,0.0,0.0003,0.0006,-0.0001,STILL
-16.4679,19.0475,-3.0784,0.0007,25.3668,0.1405,0.0,25.5122,0.0166,0.0007,0.0,0.0003,0.0006,-0.0001,STILL
-16.3493,18.9036,-3.5659,0.0004,25.246,0.1208,0.0002,25.4134,0.0106,0.0006,0.0,0.0003,0.0005,-0.0001,STILL
-16.1638,18.5479,-3.3746,0.0006,24.8331,0.413,0.0002,25.2737,0.0556,0.0006,0.0,0.0003,0.0005,-0.0001,STILL
-15.9936,18.5039,-3.3997,0.0002,24.6931,0.14,0.0004,25.1293,0.0982,0.0005,0.0,0.0003,0.0004,-0.0001,STILL
-15.7855,18.4625,-2.0979,0.0004,24.3813,0.3118,0.0002,24.9041,0.1308,0.0005,0.0,0.0002,0.0002,-0.0002,STILL
-16.1503,18.3856,-2.5064,0.0003,24.5997,0.2184,0.0001,24.7506,0.0829,0.0004,0.0,0.0001,0.0,-0.0002,STILL
-16.0765,18.4398,-2.2239,0.0002,24.5647,0.035,0.0001,24.6144,0.0222,0.0004,0.0,0.0001,-0.0,-0.0002,STILL
-16.0737,18.7831,-2.1604,0.0003,24.816,0.2513,0.0001,24.6109,0.0208,0.0003,0.0,-0.0,-0.0001,-0.0002,STILL
-16.4902,18.5765,-1.9533,0.0004,24.9164,0.1004,0.0001,24.6556,0.0361,0.0003,0.0,-0.0001,-0.0,-0.0002,STILL
-16.0171,18.3955,-1.9439,0.0006,24.4688,0.4476,0.0002,24.6731,0.0277,0.0003,0.0,-0.0,0.0002,-0.0002,STILL
-15.67,18.4883,-2.0801,0.0006,24.3247,0.1441,0.0,24.6181,0.0479,0.0004,0.0,-0.0,0.0003,-0.0001,STILL
-15.9204,18.6625,-2.2391,0.0006,24.6325,0.3078,0.0,24.6317,0.0472,0.0005,0.0,0.0,0.0004,-0.0001,STILL
-15.6019,19.2863,-2.2256,0.0006,24.9065,0.274,0.0,24.6498,0.0551,0.0005,0.0,0.0001,0.0005,-0.0001,STILL
-15.7565,19.5821,-2.6336,0.0006,25.2718,0.3653,0.0,24.7209,0.1132,0.0006,0.0,0.0002,0.0005,-0.0001,STILL
-15.7833,19.2626,-2.2132,0.0008,25.0012,0.2706,0.0002,24.8273,0.1049,0.0006,0.0,0.0003,0.0005,-0.0001,STILL
-15.8704,19.2257,-2.808,0.0008,25.0875,0.0863,0.0,24.9799,0.0447,0.0007,0.0,0.0004,0.0005,-0.0002,STILL
-15.6588,18.9993,-2.7933,0.0007,24.7785,0.309,0.0001,25.0091,0.0278,0.0007,0.0,0.0004,0.0005,-0.0002,STILL
-16.1677,18.6651,-2.6878,0.0003,24.8396,0.061,0.0004,24.9957,0.0312,0.0006,0.0,0.0004,0.0004,-0.0002,STILL
-15.9779,18.9508,-2.9096,0.0003,24.9578,0.1183,0.0001,24.9329,0.0123,0.0006,0.0,0.0004,0.0003,-0.0002,STILL
-15.9386,18.5419,-2.2777,0.0004,24.5566,0.4012,0.0001,24.844,0.0318,0.0005,0.0,0.0003,0.0001,-0.0002,STILL
-15.9477,18.4616,-2.4284,0.0006,24.5165,0.0401,0.0002,24.7298,0.0284,0.0005,0.0,0.0001,-0.0001,-0.0002,STILL
-16.0019,18.5287,-2.074,0.0006,24.5698,0.0533,0.0,24.6881,0.0313,0.0004,0.0,0.0,-0.0003,-0.0001,STILL
-15.8453,18.6729,-2.5498,0.0007,24.6222,0.0524,0.0001,24.6446,0.0257,0.0005,0.0,-0.0001,-0.0005,-0.0001,STILL
-16.0262,18.6509,-2.6523,0.0006,24.7332,0.1109,0.0001,24.5997,0.0056,0.0006,0.0,-0.0002,-0.0005,-0.0001,STILL
-15.7679,18.6394,-2.8344,0.0009,24.5782,0.155,0.0003,24.604,0.0053,0.0007,0.0,-0.0002,-0.0006,-0.0001,STILL
-15.7549,18.8678,-3.2769,0.001,24.7982,0.22,0.0002,24.6603,0.0081,0.0008,0.0,-0.0003,-0.0007,-0.0,STILL
-16.1664,19.1099,-4.1496,0.001,25.3724,0.5743,0.0,24.8208,0.0822,0.0008,0.0,-0.0003,-0.0008,-0.0,STILL
-16.1707,18.9504,-3.7916,0.0007,25.1989,0.1735,0.0003,24.9362,0.0895,0.0008,0.0,-0.0003,-0.0008,-0.0,STILL
-16.6646,18.8509,-2.9489,0.0007,25.3331,0.1342,0.0,25.0561,0.0984,0.0009,0.0,-0.0004,-0.0008,0.0,STILL
-16.4786,19.1464,-2.8654,0.0003,25.4232,0.0901,0.0004,25.2251,0.0511,0.0007,0.0,-0.0003,-0.0006,0.0,STILL
-16.3297,19.1577,-2.9235,0.0003,25.3422,0.081,0.0,25.3339,0.0056,0.0006,0.0,-0.0003,-0.0004,0.0001,STILL
-16.2075,19.2137,-2.6388,0.0002,25.2748,0.0674,0.0001,25.3144,0.0056,0.0004,0.0,-0.0003,-0.0002,0.0001,STILL
-15.9317,19.3053,-2.6173,0.0001,25.1667,0.108,0.0001,25.308,0.0072,0.0003,0.0,-0.0002,-0.0001,0.0001,STILL
-16.3922,19.4693,-2.3876,0.0001,25.5628,0.3961,0.0,25.3539,0.018,0.0002,0.0,-0.0001,0.0,0.0001,STILL
-16.4763,19.1692,-2.4788,0.0002,25.3982,0.1646,0.0001,25.3489,0.0174,0.0002,0.0,-0.0001,0.0001,0.0001,STILL
-16.7716,19.1666,-2.6737,0.0003,25.6085,0.2103,0.0001,25.4022,0.028,0.0002,0.0,-0.0,0.0002,-0.0,STILL
-16.4798,19.2989,-3.1515,0.0003,25.5727,0.0358,0.0,25.4618,0.027,0.0002,0.0,-0.0,0.0002,-0.0,STILL
