gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-302.9048,-62.6229,-479.3387,0.1445,570.4722,6.0093,0.0169,535.888,1052.8057,0.1358,0.000163,-0.1167,-0.0265,0.008,ROTATE2
-292.5613,-61.3077,-485.871,0.1623,570.4572,0.0151,0.0178,553.3328,432.9782,0.1371,0.000223,-0.1018,-0.068,0.0039,ROTATE2
-281.3053,-50.3243,-491.0968,0.1815,568.1912,2.2659,0.0192,563.755,90.9665,0.1471,0.000513,-0.0845,-0.107,0.0001,ROTATE2
-270.5568,-29.5844,-495.2774,0.2048,565.1335,3.0577,0.0233,567.7434,6.5169,0.1641,0.000737,-0.0661,-0.1424,-0.0023,ROTATE2
-259.2798,-2.5894,-498.6219,0.2328,562.0112,3.1224,0.028,567.2531,10.6958,0.1852,0.00097,-0.0477,-0.1745,-0.0035,ROTATE2
-249.8394,26.3535,-501.2975,0.2599,560.7258,1.2853,0.0271,565.3038,13.3445,0.2083,0.001223,-0.0303,-0.2038,-0.005,ROTATE2
-233.5247,52.5203,-503.438,0.2804,557.4424,3.2834,0.0205,562.7008,13.618,0.2319,0.001282,-0.0138,-0.2302,-0.0081,ROTATE2
-220.6823,75.0287,-505.1505,0.2913,556.3335,1.1089,0.0109,560.3293,10.0735,0.2539,0.000999,0.0018,-0.2526,-0.0125,ROTATE2
-220.1302,96.8667,-506.5204,0.3002,560.7168,4.3833,0.0088,559.4459,4.707,0.2729,0.000583,0.0177,-0.2706,-0.0183,ROTATE2
-208.5167,107.9465,-507.6163,0.31,559.2906,1.4262,0.0098,558.9018,3.0997,0.2884,0.000298,0.0364,-0.2834,-0.0262,ROTATE2
-186.9665,110.5197,-508.493,0.3143,552.9342,6.3564,0.0043,557.3434,7.1284,0.2993,0.000152,0.059,-0.2894,-0.0338,ROTATE2
-172.0419,112.3783,-509.1944,0.3216,549.0958,3.8384,0.0073,555.6742,17.9447,0.3075,0.000114,0.084,-0.2907,-0.04,ROTATE2
-158.2679,119.2651,-509.7555,0.331,546.9219,2.1739,0.0093,553.7919,29.635,0.3154,0.000108,0.1095,-0.2898,-0.0452,ROTATE2
-139.2112,128.9277,-510.2044,0.3392,544.3442,2.5777,0.0083,550.5174,27.1732,0.3232,0.000114,0.135,-0.2872,-0.0499,ROTATE2
-118.544,130.8328,-510.5635,0.3541,540.2268,4.1174,0.0149,546.7046,18.4213,0.3321,0.000193,0.1589,-0.2853,-0.0527,ROTATE2
-70.9289,121.1006,-510.8508,0.3741,529.7781,10.4487,0.02,542.0734,46.5126,0.344,0.000341,0.1789,-0.288,-0.0544,ROTATE2
-26.39,105.6243,-511.0807,0.3892,522.5479,7.2302,0.0151,536.7638,84.7068,0.3575,0.000466,0.1964,-0.2932,-0.0559,ROTATE2
-1.8901,96.015,-511.2645,0.3902,520.2056,2.3423,0.001,531.4205,90.3535,0.3694,0.000398,0.212,-0.2971,-0.0556,ROTATE2
12.7473,88.9995,-511.4116,0.3831,519.2545,0.9511,0.0071,526.4026,61.3718,0.3781,0.000177,0.2276,-0.2964,-0.0533,ROTATE2
22.3291,87.6027,-511.5293,0.3772,519.4565,0.202,0.0059,522.2485,15.5435,0.3828,4e-05,0.2443,-0.2884,-0.0493,ROTATE2
40.5664,95.5728,-511.6234,0.3713,522.0521,2.5956,0.0059,520.7033,1.8246,0.3822,5.2e-05,0.2622,-0.2707,-0.0442,ROTATE2
43.3,107.2551,-511.6988,0.3663,524.6086,2.5565,0.0049,521.1154,4.0244,0.3776,7.1e-05,0.2801,-0.2451,-0.0391,ROTATE2
