gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-10.2807,42.2863,29.3146,0.0066,52.4707,0.4603,0.0006,49.8591,7.557,0.008,3e-06,0.0018,0.0012,0.0074,STILL2
-12.1777,39.6916,28.1829,0.0089,50.1796,2.2911,0.0023,50.6559,4.2585,0.0077,2e-06,0.0024,-0.0001,0.0066,STILL2
-14.8453,37.7407,24.8432,0.0122,47.5598,2.6198,0.0034,50.7464,3.6491,0.0082,5e-06,0.0031,-0.0024,0.0061,STILL2
-17.4168,35.0895,19.0683,0.0157,43.5685,3.9912,0.0034,49.3419,11.9759,0.0099,1.3e-05,0.0036,-0.0054,0.0065,STILL2
-19.4116,31.2716,12.3578,0.0179,38.8257,4.7428,0.0022,46.5209,23.5594,0.0122,1.7e-05,0.0038,-0.0086,0.0074,STILL2
-20.3512,27.8641,6.4331,0.0185,35.0993,3.7264,0.0007,43.0466,30.499,0.0146,1.3e-05,0.0038,-0.0113,0.0083,STILL2
-20.5184,25.2069,1.4809,0.0166,32.536,2.5634,0.0019,39.5179,29.9659,0.0162,5e-06,0.0037,-0.0129,0.009,STILL2
-20.7085,23.0687,-2.7903,0.0139,31.1254,1.4105,0.0027,36.231,20.3146,0.0165,3e-06,0.0033,-0.0131,0.0095,STILL2
-19.848,21.8862,-4.0135,0.0116,29.8171,1.3083,0.0023,33.4807,10.2103,0.0157,7e-06,0.0027,-0.012,0.0096,STILL2
-18.0441,21.8746,-4.3077,0.0089,28.6817,1.1354,0.0027,31.4519,4.9864,0.0139,1.2e-05,0.0024,-0.0099,0.0092,STILL2
-18.4759,22.0528,-4.3649,0.007,29.0987,0.417,0.0019,30.2518,1.9929,0.0116,1.2e-05,0.0021,-0.0075,0.0084,STILL2
-19.0494,23.4891,-4.37,0.006,30.5568,1.4581,0.0011,29.8559,0.8113,0.0095,9e-06,0.0019,-0.0052,0.0075,STILL2
-20.0021,25.8788,-4.7929,0.0056,33.057,2.5002,0.0004,30.2423,2.3891,0.0078,5e-06,0.0019,-0.0033,0.0067,STILL2
-19.4141,28.3343,-4.7875,0.006,34.6794,1.6224,0.0004,31.2147,5.3449,0.0067,1e-06,0.0019,-0.0021,0.006,STILL2
-19.0594,30.4112,-4.6643,0.006,36.192,1.5126,0.0,32.7168,6.7601,0.0061,0.0,0.0019,-0.0013,0.0056,STILL2
-21.7257,30.3508,-4.9815,0.0066,37.6562,1.4643,0.0006,34.4283,6.0924,0.006,0.0,0.002,-0.0006,0.0056,STILL2
-24.2055,26.5838,-6.1133,0.009,36.4689,1.1874,0.0024,35.6107,2.5294,0.0066,2e-06,0.0022,0.0,0.0062,STILL2
-25.0519,21.1701,-6.8844,0.011,33.5137,2.9551,0.002,35.702,2.0963,0.0077,4e-06,0.0024,0.0007,0.0072,STILL2
-21.6134,15.9674,-6.8388,0.0091,27.7284,5.7853,0.0019,34.3118,12.6702,0.0083,3e-06,0.0025,0.0012,0.0078,STILL2
-16.722,14.1083,-7.0116,0.0055,22.9746,4.7538,0.0036,31.6684,30.682,0.0082,4e-06,0.0024,0.0014,0.0077,STILL2
-14.8807,14.7491,-5.9937,0.0022,21.7921,1.1825,0.0033,28.4955,32.9523,0.0074,1e-05,0.002,0.0011,0.0069,STILL2
-14.7671,16.9649,-3.8637,0.0026,22.8211,1.029,0.0004,25.766,19.2269,0.0061,1.2e-05,0.0013,0.0003,0.0052,STILL2
-14.6199,19.7157,-2.1691,0.0045,24.6405,1.8194,0.0019,23.9914,4.3254,0.0048,6e-06,0.0006,-0.0011,0.0033,STILL2
-13.5178,22.7757,-0.5446,0.0066,26.4907,1.8502,0.0021,23.7438,2.7204,0.0043,3e-06,-0.0001,-0.0027,0.002,STILL2
-11.9111,25.0862,0.2205,0.0076,27.7712,1.2805,0.001,24.7031,4.9257,0.0047,4e-06,-0.0005,-0.0042,0.0016,STILL2
-11.0851,26.0627,-1.3954,0.0082,28.3565,0.5853,0.0006,26.016,4.1767,0.0059,4e-06,-0.0003,-0.0054,0.002,STILL2
-12.1712,26.4189,-4.2226,0.0079,29.3926,1.0361,0.0003,27.3303,2.6881,0.0069,2e-06,0.0003,-0.0062,0.0027,STILL2
-14.9776,26.057,-7.0187,0.0062,30.8635,1.4709,0.0017,28.5749,2.1888,0.0073,1e-06,0.0008,-0.0063,0.0033,STILL2
-15.9446,25.2956,-7.865,0.0048,30.9185,0.055,0.0014,29.4605,1.6343,0.0069,2e-06,0.0012,-0.0055,0.0037,STILL2
-15.9432,26.0365,-6.7326,0.0034,31.2636,0.345,0.0015,30.159,1.2259,0.0061,3e-06,0.0015,-0.0044,0.0036,STILL2
-16.1327,27.3386,-5.2705,0.0027,32.1782,0.9146,0.0007,30.9233,0.8074,0.005,4e-06,0.0013,-0.0029,0.0034,STILL2
-15.8593,28.4052,-4.0445,0.003,32.7831,0.6049,0.0004,31.6014,0.5708,0.004,2e-06,0.001,-0.0014,0.0032,STILL2
-16.3468,28.8961,-3.1075,0.0028,33.3445,0.5614,0.0002,32.0976,0.8234,0.0033,1e-06,0.0009,-0.0004,0.003,STILL2
-17.8837,29.4293,-3.2297,0.0033,34.5882,1.2437,0.0005,32.8315,1.2473,0.0031,0.0,0.0009,0.0001,0.0029,STILL2
-18.4101,29.1653,-2.9275,0.0046,34.6138,0.0257,0.0013,33.5016,0.942,0.0033,0.0,0.0009,0.0002,0.0031,STILL2
-18.1906,27.4979,-2.592,0.0054,33.0719,1.542,0.0007,33.6803,0.5967,0.0038,1e-06,0.001,-0.0001,0.0037,STILL2
-17.7806,25.6483,-2.6799,0.0051,31.3236,1.7483,0.0002,33.3884,1.4614,0.0043,1e-06,0.0011,-0.0004,0.0041,STILL2
-17.4776,24.9312,-3.1595,0.0046,30.6106,0.7129,0.0005,32.8416,2.7052,0.0046,0.0,0.0012,-0.0005,0.0044,STILL2
-17.5977,24.7231,-5.237,0.0036,30.795,0.1844,0.001,32.083,2.3573,0.0047,0.0,0.0015,-0.0006,0.0043,STILL2
-18.6594,25.0378,-6.3333,0.0032,31.8618,1.0668,0.0004,31.5326,0.7831,0.0044,1e-06,0.0016,-0.0004,0.004,STILL2
-17.4369,25.6678,-6.3354,0.0036,31.6704,0.1914,0.0004,31.2523,0.2345,0.004,1e-06,0.0016,0.0001,0.0036,STILL2
-16.3745,26.5748,-4.8496,0.0042,31.589,0.0814,0.0006,31.3054,0.2533,0.0039,0.0,0.0014,0.0004,0.0034,STILL2
-15.7527,27.463,-2.7984,0.0042,31.7836,0.1946,0.0,31.54,0.1475,0.0038,0.0,0.0011,0.0006,0.0034,STILL2
-16.1084,26.5141,-1.7419,0.0044,31.0727,0.7108,0.0002,31.5955,0.077,0.0039,0.0,0.0008,0.0006,0.0037,STILL2
-18.4836,25.2519,-2.6247,0.0053,31.4037,0.331,0.0009,31.5039,0.0618,0.0043,0.0,0.0009,0.0002,0.0041,STILL2
-21.4588,21.9297,-4.4029,0.0059,30.9964,0.4073,0.0006,31.3691,0.0896,0.0048,0.0,0.0012,-0.0004,0.0044,STILL2
-23.9889,19.1625,-5.3692,0.0065,31.1688,0.1725,0.0006,31.2851,0.0809,0.0053,1e-06,0.0014,-0.0008,0.0049,STILL2
-22.8442,17.5425,-4.8391,0.0058,29.2064,1.9624,0.0007,30.7696,0.6297,0.0056,0.0,0.0015,-0.0009,0.0052,STILL2
-21.916,17.2027,-3.5994,0.0037,28.0927,1.1137,0.0021,30.1736,1.6892,0.0054,1e-06,0.0014,-0.0007,0.0051,STILL2
-21.2953,16.9278,-2.367,0.0028,27.3065,0.7863,0.001,29.3542,2.3592,0.0049,2e-06,0.001,-0.0001,0.0046,STILL2
-20.7238,16.961,-0.6874,0.0029,26.7885,0.518,0.0002,28.5126,2.4281,0.0043,2e-06,0.0007,0.0006,0.0039,STILL2
-20.4696,17.8157,0.9001,0.003,27.1517,0.3632,0.0001,27.7092,0.7419,0.0037,1e-06,0.0004,0.0014,0.0029,STILL2
-19.5132,18.7744,1.0763,0.0025,27.0999,0.0518,0.0005,27.2879,0.1903,0.003,0.0,0.0004,0.0018,0.0021,STILL2
-17.9918,19.6852,1.5111,0.0019,26.7113,0.3885,0.0006,27.0116,0.0509,0.0026,0.0,0.0005,0.002,0.0015,STILL2
-17.3153,20.4481,0.712,0.0006,26.804,0.0927,0.0013,26.9111,0.032,0.0022,1e-06,0.0005,0.0018,0.0012,STILL2
-17.121,21.6773,-0.1273,0.0011,27.6233,0.8194,0.0005,27.078,0.1026,0.0018,1e-06,0.0006,0.0012,0.0008,STILL2
-17.9906,23.0012,-1.3581,0.0014,29.2328,1.6095,0.0003,27.4943,0.8569,0.0015,0.0,0.0007,0.0004,0.0006,STILL2
-18.0862,23.5509,-2.2927,0.0018,29.7828,0.5499,0.0004,28.0308,1.5853,0.0014,0.0,0.0007,-0.0002,0.0006,STILL2
-17.2377,24.5251,-2.3342,0.0019,30.0677,0.285,0.0001,28.7021,1.6162,0.0014,0.0,0.0006,-0.0006,0.0007,STILL2
-16.3089,25.6639,-1.9111,0.0016,30.4675,0.3997,0.0003,29.4348,0.9821,0.0016,0.0,0.0006,-0.0009,0.0009,STILL2
-16.2159,26.0655,-1.9664,0.0016,30.7608,0.2934,0.0001,30.0623,0.2837,0.0017,0.0,0.0005,-0.0009,0.0012,STILL2
-16.904,26.1649,-1.845,0.0015,31.2049,0.4441,0.0,30.4568,0.2516,0.0017,0.0,0.0004,-0.0009,0.0014,STILL2
-17.9482,24.9725,-1.8572,0.0018,30.8093,0.3956,0.0003,30.6621,0.1434,0.0017,0.0,0.0004,-0.0007,0.0015,STILL2
-19.0554,25.0811,-2.2389,0.0023,31.5782,0.7689,0.0005,30.9642,0.1494,0.0018,0.0,0.0005,-0.0005,0.0016,STILL2
-19.0037,23.1149,-2.013,0.0026,29.9915,1.5867,0.0003,30.869,0.2802,0.002,0.0,0.0005,-0.0001,0.0017,STILL2
-18.4748,22.3701,-1.9948,0.0024,29.0812,0.9103,0.0002,30.533,0.8042,0.0021,0.0,0.0006,0.0003,0.0018,STILL2
