gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-15.7388,23.7974,-1.3955,0.0866,28.5653,0.753,0.0023,28.9606,0.1038,0.0781,0.000129,-0.0778,0.0046,0.0012,TRANSLATE
-16.4129,24.2161,1.0336,0.0899,29.2723,0.7071,0.0033,29.0597,0.1066,0.0849,1e-05,-0.0847,0.0057,0.0016,TRANSLATE
-15.5834,24.2885,3.7769,0.0958,29.1039,0.1684,0.0059,29.1256,0.0864,0.0879,2.1e-05,-0.0876,0.0063,0.0019,TRANSLATE
-14.9386,24.6777,16.0902,0.0881,33.031,3.927,0.0077,29.8581,2.5884,0.0889,1.5e-05,-0.0884,0.0079,0.0018,TRANSLATE
-19.3415,24.2984,21.4066,0.0683,37.7193,4.6883,0.0198,31.5384,12.0666,0.0857,8.6e-05,-0.085,0.0094,0.0015,TRANSLATE
-18.9076,24.0856,15.4471,0.0516,34.2962,3.4232,0.0167,32.6845,10.5061,0.0787,0.000269,-0.0778,0.0108,0.0014,TRANSLATE
-15.8698,24.456,4.1671,0.0355,29.4501,4.846,0.0161,32.7201,10.2684,0.0679,0.0005,-0.0669,0.0102,0.0009,TRANSLATE
-17.8021,24.0304,-11.7757,0.0277,32.141,2.6909,0.0078,33.3275,7.3512,0.0543,0.000481,-0.052,0.0043,0.001,TRANSLATE
-14.9511,22.1712,-26.8799,0.0334,37.9161,5.7751,0.0056,34.3045,10.59,0.0433,0.000219,-0.0366,-0.0052,0.0017,TRANSLATE
-14.0421,22.5963,-47.2196,0.0311,54.1984,16.2823,0.0022,37.6003,76.5485,0.0359,6.9e-05,-0.0233,-0.0144,0.0018,TRANSLATE
-18.8493,22.4489,-74.0288,0.0229,79.6211,25.4227,0.0082,46.6653,345.3393,0.0301,2e-05,-0.0106,-0.0203,0.0017,TRANSLATE
-15.9326,21.9873,-102.873,0.0246,106.3962,26.7751,0.0017,62.0545,762.7941,0.0279,1.5e-05,0.0013,-0.0209,0.002,TRANSLATE
-15.1273,23.2398,-125.3797,0.0373,128.4095,22.0133,0.0127,81.3082,1093.7205,0.0299,2.9e-05,0.0127,-0.0159,0.0021,TRANSLATE
-15.155,23.4637,-128.9506,0.0468,131.9412,3.5318,0.0095,100.1133,876.255,0.0325,7.7e-05,0.0239,-0.0083,0.0018,TRANSLATE
-16.0396,24.6522,-112.8418,0.0535,116.6116,15.3296,0.0067,112.5959,353.2423,0.037,0.000144,0.0347,-0.0028,0.002,TRANSLATE
-14.8161,25.1687,-85.6953,0.0588,90.5354,26.0762,0.0054,114.7788,228.3427,0.0442,0.000148,0.0432,-0.0029,0.0019,TRANSLATE
-15.256,25.2943,-62.6093,0.0636,69.2277,21.3077,0.0048,107.3451,574.0089,0.052,8.6e-05,0.0503,-0.0064,0.0015,TRANSLATE
-19.2204,26.5104,-42.0406,0.0653,53.2883,15.9394,0.0017,92.3208,843.9672,0.0576,4.6e-05,0.0553,-0.0121,0.0006,TRANSLATE
-17.7482,27.3146,-23.7075,0.0671,40.2881,13.0002,0.0017,73.9902,735.4818,0.0617,2.4e-05,0.0588,-0.0173,0.0003,TRANSLATE
-20.4861,26.0892,-6.7691,0.0664,33.8548,6.4333,0.0007,57.4389,420.3886,0.0642,9e-06,0.0613,-0.0183,-0.0001,TRANSLATE
