gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-115.206,-489.1896,309.4816,0.2203,590.2184,3.6627,0.0176,575.1136,351.6175,0.1951,0.00026,-0.1629,-0.0721,0.0749,SHAKE1
-131.3523,-493.7517,250.4572,0.2301,569.0105,21.2079,0.0099,580.1798,135.7827,0.2067,0.000262,-0.1687,-0.066,0.0926,SHAKE1
-96.9162,-497.4013,179.7689,0.2406,537.6967,31.3138,0.0105,574.8723,417.7231,0.2175,0.000298,-0.1736,-0.0543,0.1123,SHAKE1
24.8639,-500.3211,188.8089,0.2969,535.3393,2.3574,0.0563,565.2292,622.2286,0.2381,0.00102,-0.1879,-0.0411,0.1361,SHAKE1
13.2567,-502.6569,168.2221,0.3069,530.2248,5.1145,0.01,552.4979,541.0183,0.259,0.001281,-0.1984,-0.0133,0.1596,SHAKE1
-91.7946,-433.188,137.0714,0.2928,463.5371,66.6877,0.0141,527.1617,1197.3303,0.2735,0.001,-0.1994,0.008,0.1809,SHAKE1
-175.8357,-315.5129,191.8259,0.2832,408.9789,54.5582,0.0097,495.1554,2616.095,0.2841,0.000531,-0.1936,0.0204,0.2004,SHAKE1
-161.3842,-246.8978,246.8763,0.2669,384.6444,24.3345,0.0163,464.5449,3759.6763,0.2893,0.000184,-0.1873,0.0295,0.2135,SHAKE1
-76.4636,-203.4964,227.7761,0.2349,314.8641,69.7803,0.032,420.4499,5293.8037,0.2769,0.000611,-0.1666,0.0444,0.2149,SHAKE1
-20.674,-232.8502,138.2084,0.2738,271.5662,43.2979,0.0389,368.7181,4640.7939,0.2703,0.00039,-0.164,0.0487,0.2058,SHAKE1
-29.0736,-254.4146,86.2823,0.2799,270.216,1.3502,0.0062,330.0539,3288.2793,0.2677,0.0003,-0.1735,0.0539,0.1907,SHAKE1
-52.8932,-263.6442,64.179,0.2737,276.4505,6.2345,0.0062,303.5482,1914.5631,0.2658,0.000256,-0.1888,0.06,0.1721,SHAKE1
-91.8583,-277.9122,43.2807,0.2687,295.8824,19.4319,0.005,285.7958,295.8501,0.2662,0.000258,-0.2043,0.0635,0.1536,SHAKE1
-118.4492,-311.1391,7.2308,0.2709,333.0016,37.1192,0.0021,289.4233,559.3751,0.2734,1.4e-05,-0.2256,0.0614,0.1388,SHAKE1
-101.2625,-351.3113,-49.6216,0.2664,368.9662,35.9646,0.0044,308.9033,1381.5422,0.2719,2.2e-05,-0.233,0.0558,0.1264,SHAKE1
-53.0225,-383.449,-123.8973,0.2547,406.442,37.4758,0.0118,336.1485,2242.658,0.2669,4.3e-05,-0.2335,0.0519,0.1172,SHAKE1
29.5008,-409.1592,-201.1928,0.2563,456.9028,50.4608,0.0016,372.239,3143.6848,0.2634,4.4e-05,-0.2311,0.0494,0.1153,SHAKE1
125.9975,-429.7274,-252.098,0.275,513.9012,56.9984,0.0187,415.8427,4089.9668,0.2647,6.4e-05,-0.2244,0.0466,0.1279,SHAKE1
203.1949,-446.1819,-274.9472,0.3021,562.1053,48.2042,0.0271,461.6635,4896.4438,0.2709,0.000297,-0.219,0.0429,0.1482,SHAKE1
207.0028,-459.3455,-273.1015,0.3074,573.0906,10.9853,0.0053,502.4884,3994.4141,0.2791,0.000492,-0.2109,0.0376,0.1741,SHAKE1
164.7741,-469.8764,-264.4031,0.3258,563.7759,9.3147,0.0185,533.9551,1910.5061,0.2933,0.000608,-0.2004,0.0322,0.2074,SHAKE1
127.5974,-452.4792,-249.4287,0.3392,532.1967,31.5793,0.0133,549.0139,496.9431,0.3099,0.000479,-0.1855,0.0264,0.2418,SHAKE1
82.6342,-380.9428,-209.1148,0.3577,442.3515,89.8452,0.0185,534.704,2320.9644,0.3264,0.000419,-0.1656,0.0198,0.2737,SHAKE1
-6.5333,-284.4543,-159.8512,0.3891,326.3577,115.9938,0.0314,487.5545,8629.3584,0.3438,0.000782,-0.1363,0.0095,0.3086,SHAKE1
-107.5579,-202.9384,-111.6654,0.4014,255.3857,70.972,0.0124,424.0135,13909.083,0.3626,0.000826,-0.1069,-0.004,0.3413,SHAKE1
-188.4463,-162.4476,-56.2885,0.3943,255.0875,0.2982,0.0071,362.2758,11898.0293,0.3763,0.000569,-0.0809,-0.0202,0.3637,SHAKE1
-253.1571,-152.8925,-24.9871,0.3821,296.7979,41.7103,0.0123,315.196,4764.3779,0.3849,0.000226,-0.0602,-0.0381,0.3763,SHAKE1
-304.9257,-131.4952,-0.3928,0.3747,332.0705,35.2726,0.0074,293.1398,1101.1512,0.3883,8.7e-05,-0.0465,-0.0583,0.3797,SHAKE1
-346.3405,-87.443,7.8389,0.3623,357.2947,25.2242,0.0124,299.3273,1665.3518,0.383,0.000193,-0.0388,-0.0777,0.3717,SHAKE1
-379.4724,-44.8826,3.4836,0.3401,382.1334,24.8387,0.0222,324.6768,2007.9519,0.3707,0.000342,-0.035,-0.0949,0.3554,SHAKE1
-405.978,-1.806,-11.0631,0.3136,406.1327,23.9993,0.0265,354.8858,1453.8451,0.3546,0.000622,-0.0328,-0.1092,0.3345,SHAKE1
-427.1824,24.8114,-31.4317,0.2852,429.0552,22.9225,0.0284,381.3373,1179.541,0.3352,0.001057,-0.0329,-0.1209,0.3098,SHAKE1
-444.1459,57.9554,-52.4704,0.2558,450.974,21.9188,0.0294,405.118,1098.4299,0.3114,0.001441,-0.0343,-0.1308,0.2786,SHAKE1
-443.3542,70.6549,-74.7482,0.2234,455.129,4.155,0.0324,424.6849,758.3749,0.2836,0.001699,-0.0378,-0.1381,0.2416,SHAKE1
-391.4709,79.5333,-97.8486,0.1955,411.2777,43.8513,0.0279,430.5137,398.224,0.2547,0.001776,-0.0438,-0.1422,0.2016,SHAKE1
-306.1361,85.7392,-105.2851,0.1772,334.8962,76.3815,0.0183,416.2664,1904.8933,0.2274,0.001539,-0.0504,-0.1442,0.162,SHAKE1
-242.2808,83.4007,-98.0062,0.1613,274.3371,60.5591,0.0159,385.3228,4943.4604,0.2026,0.001132,-0.0573,-0.1436,0.1247,SHAKE1
-221.2559,52.1831,-79.2893,0.1449,240.7572,33.5799,0.0164,343.2794,6493.6445,0.1805,0.000743,-0.0645,-0.1373,0.0911,SHAKE1
-252.4047,0.459,-79.8752,0.1335,264.7421,23.9849,0.0114,305.2021,3775.3169,0.1625,0.000491,-0.071,-0.1282,0.0626,SHAKE1
-284.9612,-58.7547,-99.5939,0.1236,307.5288,42.7867,0.01,284.4523,1095.4368,0.1481,0.000369,-0.0747,-0.1176,0.0403,SHAKE1
