gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-26.1934,93.011,-20.5947,0.0458,98.7992,21.5288,0.001,120.1849,122.2122,0.0488,6e-06,0.0035,0.0193,0.0416,translate1
-67.8297,50.7588,-18.3601,0.0575,86.6858,12.1134,0.0117,111.8197,262.8064,0.0498,1.7e-05,0.0031,0.0299,0.034,translate1
-100.5388,8.1633,-16.26,0.07,102.1718,15.486,0.0125,107.063,218.8354,0.0537,8.4e-05,0.0027,0.0416,0.0265,translate1
-114.0029,-28.2506,-10.9361,0.0735,117.9591,15.7874,0.0035,105.1888,156.9138,0.0587,0.000132,0.0027,0.0529,0.0181,translate1
-119.6929,-56.288,0.1949,0.0755,132.2678,14.3087,0.0019,107.5767,252.0271,0.0645,0.000126,0.003,0.0623,0.0079,translate1
-126.0137,-81.271,11.7559,0.0781,150.4082,18.1404,0.0026,117.8985,496.986,0.0709,5.2e-05,0.0029,0.0696,-0.0007,translate1
-124.5891,-98.9262,18.4328,0.0816,160.1518,9.7436,0.0035,132.5918,443.3157,0.0757,1.5e-05,0.0023,0.0742,-0.0076,translate1
-117.8244,-104.9035,20.09,0.0799,159.0312,1.1206,0.0017,143.9637,268.7298,0.0777,9e-06,0.0014,0.0763,-0.0116,translate1
-102.1314,-94.6196,19.2158,0.0781,140.5452,18.4861,0.0018,148.4809,115.4149,0.0786,4e-06,0.0004,0.0772,-0.011,translate1
-87.3676,-71.702,18.0695,0.0732,114.4586,26.0865,0.0049,144.919,281.6581,0.0782,8e-06,-0.0006,0.0769,-0.0071,translate1
-80.2722,-40.4428,18.3525,0.0664,91.7391,22.7195,0.0068,133.1852,703.5696,0.0758,3e-05,-0.0015,0.0751,-0.0031,translate1
-80.0147,-13.198,16.1695,0.0604,82.6921,9.047,0.006,117.6933,828.0397,0.0716,5.3e-05,-0.0024,0.0712,-0.0011,translate1
-83.1023,6.3291,13.6981,0.0536,84.4612,1.7691,0.0067,102.7793,484.7202,0.0663,7.6e-05,-0.0034,0.0656,-0.0021,translate1
-85.2756,22.0695,12.6835,0.0459,88.9936,4.5324,0.0078,92.4689,131.1735,0.0599,9.1e-05,-0.0046,0.0587,-0.0058,translate1
-87.4768,30.4837,13.8843,0.0388,93.6708,4.6771,0.0071,88.3114,17.4676,0.053,9.7e-05,-0.0058,0.0514,-0.0095,translate1
-88.4064,39.3245,12.7043,0.0317,97.5885,3.9177,0.0071,89.4812,30.962,0.0461,0.000105,-0.0064,0.0439,-0.0118,translate1
-84.2595,41.269,8.5259,0.0288,94.2098,3.3787,0.0028,91.7848,20.9091,0.0398,8.3e-05,-0.0069,0.0369,-0.0126,translate1
-80.4764,38.1027,4.9832,0.0272,89.1801,5.0297,0.0016,92.7286,10.6483,0.0345,4.8e-05,-0.007,0.0305,-0.0135,translate1
-69.1655,37.6853,4.6991,0.0232,78.9058,10.2743,0.004,90.711,42.0016,0.0299,2.7e-05,-0.0066,0.0247,-0.0143,translate1
-55.0605,44.0795,7.5749,0.0149,70.9369,7.9689,0.0083,86.1642,97.7795,0.0252,3.4e-05,-0.0064,0.0189,-0.0143,translate1
-47.564,55.248,13.1474,0.0138,74.0779,3.141,0.0011,81.4621,78.7827,0.0216,3.8e-05,-0.006,0.0136,-0.0146,translate1
-47.9262,65.214,18.5304,0.0149,83.0251,8.9472,0.0011,79.2251,41.7666,0.0188,2.9e-05,-0.0051,0.0092,-0.0147,translate1
-48.0629,69.5149,17.915,0.0187,86.3905,3.3654,0.0038,78.6672,31.9034,0.0171,1.2e-05,-0.0037,0.0058,-0.0149,translate1
-46.5409,59.7057,13.2507,0.0218,76.8532,9.5373,0.003,78.2567,32.3816,0.0168,9e-06,-0.0023,0.0035,-0.0159,translate1
-41.0765,55.0958,8.6881,0.0175,69.2698,7.5833,0.0042,77.9233,37.7072,0.0174,8e-06,-0.0008,0.0022,-0.017,translate1
-35.9612,59.0829,6.6942,0.021,69.4896,0.2198,0.0034,77.0056,48.133,0.0188,6e-06,0.0006,0.0012,-0.0185,translate1
-34.1096,57.7819,8.1335,0.0256,67.5897,1.8999,0.0047,73.9186,49.0881,0.0209,8e-06,0.0014,-0.0001,-0.0207,translate1
-38.3439,50.4381,7.9099,0.0305,63.85,3.7397,0.0049,69.4105,17.9308,0.0233,2e-05,0.002,-0.0011,-0.023,translate1
-43.1845,35.0661,5.5467,0.0281,55.9044,7.9456,0.0024,65.2207,25.7809,0.0245,2.2e-05,0.0022,-0.0016,-0.0243,translate1
-46.9726,16.731,2.1092,0.0238,49.9079,5.9964,0.0043,61.3483,54.4028,0.0258,1.1e-05,0.0022,-0.0011,-0.0255,translate1
-42.8218,0.3942,-0.0657,0.0228,42.8237,7.0842,0.0009,56.0151,81.336,0.0262,8e-06,0.0024,0.0004,-0.0258,translate1
-38.9106,-5.6784,-0.5651,0.024,39.3268,3.4969,0.0012,50.3626,78.2902,0.0259,9e-06,0.0027,0.0025,-0.0254,translate1
-32.5222,-6.8521,0.2573,0.0281,33.2372,6.0896,0.004,44.24,63.0778,0.0254,5e-06,0.0028,0.005,-0.0245,translate1
-26.4053,-17.6473,0.7715,0.0402,31.7689,1.4683,0.0121,39.4129,43.6713,0.0278,4.2e-05,0.002,0.0083,-0.0262,translate1
-21.2805,-42.1929,3.4234,0.05,47.3795,15.6106,0.0098,38.9072,34.0798,0.033,0.000109,0.0001,0.0122,-0.0302,translate1
-18.5306,-70.9449,8.0325,0.0537,73.7637,26.3842,0.0037,45.0952,235.7156,0.0392,0.000136,-0.0025,0.017,-0.0347,translate1
-18.0433,-89.0216,12.3197,0.0479,91.6634,17.8997,0.0057,55.5625,553.2145,0.0439,8.3e-05,-0.0047,0.0222,-0.037,translate1
-18.2877,-90.5391,17.1464,0.0445,93.9456,2.2822,0.0034,67.7042,600.7623,0.0472,2.1e-05,-0.0064,0.0282,-0.0355,translate1
-20.9958,-74.0938,19.0921,0.0507,79.3425,14.6031,0.0062,77.2189,279.0527,0.0493,9e-06,-0.0071,0.0349,-0.0284,translate1
-24.8091,-50.2282,20.4675,0.0623,59.6429,19.6995,0.0117,79.6716,156.7417,0.0518,3.7e-05,-0.0076,0.0422,-0.0163,translate1
-14.8879,-33.195,21.124,0.0716,42.0688,17.5741,0.0093,73.3326,392.3728,0.0554,0.000102,-0.0083,0.0493,-0.0017,translate1
-5.3697,-25.4529,19.9523,0.0686,32.7838,9.285,0.003,61.5567,515.3387,0.0595,0.000108,-0.0094,0.0549,0.0111,translate1
-14.3145,-20.3904,18.9431,0.0609,31.2972,1.4866,0.0078,49.027,331.6654,0.0628,5.3e-05,-0.0109,0.057,0.021,translate1
-32.1079,-8.8155,13.092,0.0567,35.7775,4.4802,0.0042,40.314,107.0545,0.064,2.9e-05,-0.0121,0.0558,0.0279,translate1
-47.8019,-2.8211,2.6486,0.0591,47.9583,12.1808,0.0024,37.9771,38.5591,0.0634,3.3e-05,-0.0125,0.0518,0.0331,translate1
-47.1822,-2.4975,-9.0218,0.0644,48.1018,0.1435,0.0053,39.1837,54.2568,0.0619,1.8e-05,-0.0125,0.0463,0.0376,translate1
-34.7239,-4.3699,-19.2987,0.0619,39.966,8.1358,0.0024,40.6202,44.124,0.0606,7e-06,-0.0125,0.0391,0.0427,translate1
-22.5666,3.7728,-26.4546,0.0572,34.9761,4.9899,0.0047,41.3559,32.5703,0.0598,9e-06,-0.0115,0.031,0.0477,translate1
-28.1783,25.512,-30.773,0.0595,48.9066,13.9305,0.0023,43.9818,30.854,0.0604,6e-06,-0.0095,0.0198,0.0526,translate1
-34.6457,49.769,-32.1715,0.074,68.6461,19.7395,0.0145,48.1193,132.2379,0.0634,3.4e-05,-0.0065,0.007,0.0581,translate1
-19.3791,76.4902,-31.4154,0.0855,84.9307,16.2846,0.0114,55.4851,348.9987,0.0676,0.000114,-0.0034,-0.007,0.0636,translate1
