gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
126.113,-13.5384,-100.1231,0.0337,161.5933,9.0324,0.0004,155.3701,417.3567,0.0378,2.6e-05,-0.0177,-0.0011,-0.0319,TRANSLATE2
124.8623,-12.6776,-90.4672,0.0313,154.7114,6.8819,0.0025,159.3974,314.7383,0.0368,3.3e-05,-0.016,-0.0022,-0.0323,TRANSLATE2
97.1336,13.9423,-76.2332,0.0524,124.2611,30.4504,0.0211,158.5026,372.815,0.0377,5.7e-05,-0.0162,0.0019,-0.0325,TRANSLATE2
58.5725,63.5726,-67.5022,0.0785,109.6757,14.5854,0.0261,144.1734,540.1655,0.046,0.000321,-0.0229,0.0082,-0.0379,TRANSLATE2
29.3517,101.1456,-78.8767,0.0923,131.5807,21.9051,0.0138,136.3644,370.9553,0.0576,0.000587,-0.0287,0.0129,-0.0478,TRANSLATE2
-20.353,120.854,-86.1451,0.0896,149.8029,18.2222,0.0027,134.0064,274.2137,0.0688,0.000552,-0.033,0.0133,-0.0582,TRANSLATE2
-47.0199,107.8894,-79.5411,0.0601,142.0485,7.7544,0.0295,131.4738,194.9951,0.0746,0.000252,-0.0368,0.0105,-0.0627,TRANSLATE2
-71.3378,96.3022,-68.6735,0.0573,138.1276,3.9209,0.0028,134.2471,185.7539,0.0756,0.000212,-0.0395,0.0062,-0.0628,TRANSLATE2
-76.364,88.1542,-58.2763,0.0477,130.3793,7.7483,0.0096,138.3878,50.8491,0.0694,0.000328,-0.0384,0.0007,-0.0564,TRANSLATE2
-61.3224,88.8703,-54.7617,0.0483,121.067,9.3123,0.0006,136.2851,97.1627,0.0606,0.000234,-0.0377,-0.0031,-0.0459,TRANSLATE2
-51.9517,83.5118,-53.4906,0.0418,111.9574,9.1096,0.0065,128.716,121.6923,0.0511,4.5e-05,-0.0368,-0.0036,-0.0345,TRANSLATE2
-99.8551,68.3188,-45.3894,0.0383,129.2235,17.2661,0.0035,126.1509,79.613,0.0467,4.2e-05,-0.0343,-0.0049,-0.0304,TRANSLATE2
-148.3091,73.0926,-30.9802,0.0424,168.2198,38.9963,0.004,132.1694,368.6604,0.0437,1.4e-05,-0.0331,-0.004,-0.0275,TRANSLATE2
-170.3098,81.4241,-20.6998,0.044,189.9047,21.6849,0.0016,144.0744,892.9616,0.043,1e-05,-0.0329,-0.003,-0.0265,TRANSLATE2
-180.276,81.7611,-17.6067,0.0328,198.7317,8.8271,0.0111,159.6074,1143.3038,0.0399,1.6e-05,-0.031,-0.0023,-0.0237,TRANSLATE2
-153.577,77.2526,-28.8698,0.0328,174.3196,24.4121,0.0001,172.0798,576.9266,0.0381,2.2e-05,-0.0306,-0.002,-0.0197,TRANSLATE2
-106.8116,74.2771,-44.9458,0.0382,137.6442,36.6754,0.0054,173.764,443.9185,0.038,2.2e-05,-0.0335,-0.0002,-0.0148,TRANSLATE2
