gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-424.4144,-452.9191,345.6694,0.1518,710.458,1.2658,0.0219,687.2477,569.3179,0.1763,0.000187,-0.0506,-0.0036,0.1681,SHAKE
-398.5128,-390.2572,359.0042,0.1443,663.3228,47.1352,0.0075,690.6219,339.5551,0.167,0.000262,-0.0572,0.0037,0.1557,SHAKE
-356.0352,-337.8589,335.5253,0.1372,594.5477,68.7751,0.007,674.2643,1877.2172,0.1571,0.000265,-0.0659,0.0107,0.14,SHAKE
-300.9532,-314.6496,306.4796,0.1353,532.4537,62.0939,0.0019,641.9949,4781.6123,0.1485,0.000193,-0.0756,0.0178,0.1226,SHAKE
-246.7094,-328.679,278.8868,0.1415,496.6622,35.7915,0.0062,599.4889,6296.0742,0.142,3.4e-05,-0.0871,0.025,0.1038,SHAKE
-202.4707,-358.712,258.0907,0.1479,486.0859,10.5763,0.0065,554.6144,4391.5791,0.1412,2.1e-05,-0.1007,0.0317,0.0888,SHAKE
-164.2859,-381.2914,235.3351,0.1513,477.2375,8.8484,0.0034,517.3974,1840.407,0.1427,3.8e-05,-0.1113,0.038,0.0781,SHAKE
-111.1537,-382.3238,210.0774,0.1485,450.1768,27.0607,0.0028,488.5233,719.9777,0.1449,3.4e-05,-0.1165,0.0427,0.074,SHAKE
-29.8792,-371.6497,168.7245,0.1397,409.2483,40.9285,0.0088,463.8821,983.7194,0.1458,2e-05,-0.1166,0.0445,0.0744,SHAKE
67.6685,-352.1104,130.9452,0.1348,381.7163,27.532,0.0049,440.893,1590.5544,0.1445,3.8e-05,-0.1123,0.0448,0.0779,SHAKE
156.5317,-335.1883,109.9343,0.1324,385.926,4.2097,0.0024,420.861,1385.0676,0.1414,5.5e-05,-0.1059,0.044,0.0819,SHAKE
227.6222,-365.8788,108.7568,0.1377,444.4178,58.4918,0.0053,414.2971,817.3052,0.1386,3.1e-05,-0.0999,0.0439,0.0852,SHAKE
264.0853,-395.103,127.5523,0.1462,492.0539,47.636,0.0085,422.6725,1698.9104,0.1382,2.2e-05,-0.0968,0.0437,0.0883,SHAKE
261.1089,-418.4824,147.0481,0.164,514.712,22.6582,0.0178,443.7652,2912.2212,0.143,0.000132,-0.0945,0.0474,0.0956,SHAKE
234.6965,-437.1859,162.4072,0.1831,522.1016,7.3895,0.0191,471.8423,2581.2046,0.1527,0.000346,-0.0912,0.0537,0.1081,SHAKE
180.8634,-452.1487,163.5945,0.1996,513.7249,8.3767,0.0166,497.402,802.4135,0.1661,0.000524,-0.0883,0.0624,0.1238,SHAKE
108.8939,-454.6877,168.3288,0.21,496.9239,16.8009,0.0104,507.9032,130.7183,0.1806,0.000538,-0.0852,0.0701,0.1411,SHAKE
61.1776,-456.8252,173.7818,0.2186,492.577,4.347,0.0086,508.0079,127.4457,0.1951,0.000382,-0.0799,0.0786,0.1589,SHAKE
23.1264,-460.7102,190.9848,0.2283,499.2633,6.6864,0.0097,504.9181,124.2034,0.2079,0.000244,-0.0751,0.0871,0.1729,SHAKE
-26.6832,-446.6588,181.9285,0.2292,483.0259,16.2374,0.0008,497.103,99.9269,0.2171,0.000126,-0.0717,0.0972,0.1799,SHAKE
-21.4028,-422.1458,152.8459,0.2191,449.4742,33.5518,0.01,484.2528,333.245,0.221,5e-05,-0.066,0.1058,0.1815,SHAKE
24.9402,-400.2542,114.4205,0.211,417.0341,32.44,0.0081,468.2749,949.5104,0.2212,4.6e-05,-0.0569,0.1142,0.1794,SHAKE
101.9709,-384.1252,71.4551,0.2023,403.802,13.2321,0.0088,450.5199,1347.5027,0.218,0.000106,-0.0472,0.1204,0.1744,SHAKE
175.7143,-385.0439,39.9547,0.2092,425.1243,21.3223,0.0069,435.6921,781.4418,0.2142,8.5e-05,-0.0365,0.1233,0.1704,SHAKE
230.6933,-391.0351,17.7138,0.2167,454.3585,29.2342,0.0075,429.9586,370.158,0.2117,3.5e-05,-0.0251,0.1218,0.1703,SHAKE
280.639,-395.9187,-4.6258,0.2322,485.3157,30.9572,0.0155,437.127,855.4828,0.2143,0.000102,-0.0131,0.1201,0.176,SHAKE
326.9081,-400.035,-25.9288,0.2492,517.2709,31.9552,0.0169,457.1743,1657.4525,0.2219,0.000285,-0.0018,0.1177,0.187,SHAKE
363.9233,-388.8655,-37.293,0.2762,533.8983,16.6274,0.027,483.1935,1588.046,0.2367,0.000578,0.0101,0.1173,0.2043,SHAKE
369.423,-332.9486,-32.3813,0.3022,498.3741,35.5242,0.026,497.8434,745.1085,0.2553,0.000939,0.0216,0.1188,0.2241,SHAKE
328.829,-274.0495,-29.8613,0.3225,429.096,69.2781,0.0203,492.791,1286.6349,0.2765,0.001097,0.0324,0.1221,0.2454,SHAKE
240.0164,-238.3678,-17.214,0.3178,338.7084,90.3876,0.0047,463.4695,5164.0005,0.2936,0.000755,0.0419,0.1217,0.2636,SHAKE
125.2787,-208.4411,-49.3181,0.3136,248.1425,90.5658,0.0042,409.6439,10961.0244,0.3065,0.000275,0.0503,0.121,0.2768,SHAKE
9.998,-172.8904,-78.0264,0.3185,189.9451,58.1974,0.0049,340.8532,12794.5488,0.3149,4.8e-05,0.0558,0.1198,0.2856,SHAKE
-80.2797,-122.0435,-110.2492,0.3228,183.0146,6.9305,0.0043,277.7813,8836.5254,0.3191,1.2e-05,0.0594,0.1185,0.2901,SHAKE
-131.03,-54.3536,-150.3087,0.3123,206.6783,23.6636,0.0105,233.2978,3289.6418,0.317,1.4e-05,0.061,0.1156,0.2888,SHAKE
-140.9334,23.5859,-183.7376,0.2896,232.7617,26.0835,0.0227,212.1084,618.4332,0.3114,0.000132,0.0594,0.1114,0.2845,SHAKE
-120.4686,116.5843,-195.8557,0.2678,257.8062,25.0445,0.0218,214.0412,772.6642,0.3022,0.000426,0.0542,0.1042,0.2782,SHAKE
-99.0843,195.6644,-204.519,0.2456,299.8837,42.0775,0.0222,236.0289,1646.8674,0.2876,0.000802,0.0479,0.0943,0.2671,SHAKE
-97.1237,258.9283,-209.8839,0.2216,347.1717,47.288,0.024,268.8603,2477.4048,0.2674,0.001017,0.0411,0.0818,0.2508,SHAKE
-132.2552,309.5396,-214.0697,0.2036,398.9135,51.7419,0.018,307.3074,3608.6738,0.2457,0.000955,0.0343,0.0711,0.2324,SHAKE
-208.2041,350.0285,-201.5745,0.1815,454.424,55.5105,0.0221,351.6398,4860.5586,0.224,0.000923,0.0274,0.0594,0.2141,SHAKE
-268.9633,382.4197,-172.5096,0.1464,498.3429,43.9189,0.0351,399.7472,5089.6533,0.1997,0.001154,0.0206,0.0451,0.1926,SHAKE
-288.9238,408.3326,-126.0639,0.1054,515.8533,17.5104,0.0411,442.9411,3925.5229,0.1717,0.001729,0.011,0.0266,0.1656,SHAKE
-292.7328,415.1599,-82.4011,0.0781,514.6262,1.2271,0.0273,476.432,1997.278,0.143,0.00216,-0.0,0.0058,0.1344,SHAKE
-299.1737,379.5216,-44.3615,0.0725,485.2932,29.333,0.0056,493.7079,512.7014,0.1168,0.001732,-0.0122,-0.0185,0.0996,SHAKE
-292.9453,326.0548,-18.2955,0.0791,438.7065,46.5868,0.0066,490.5644,799.2064,0.0963,0.000758,-0.024,-0.0388,0.0615,SHAKE
-282.3281,272.8782,1.6699,0.0882,392.6505,46.0559,0.0091,469.4259,2257.696,0.0847,0.000133,-0.0341,-0.0532,0.0252,SHAKE
-274.4562,221.8151,24.3609,0.0926,353.7253,38.9252,0.0044,437.0003,3452.5054,0.0821,5.3e-05,-0.0393,-0.0607,-0.0046,SHAKE
-275.14,169.5614,53.2637,0.0906,327.5517,26.1736,0.0021,399.5854,3243.2776,0.0846,5.8e-05,-0.0404,-0.0639,-0.0271,SHAKE
-294.5464,115.9835,79.8297,0.0869,326.4698,1.0819,0.0036,367.8207,1834.2971,0.0875,2.1e-05,-0.0383,-0.0635,-0.0428,SHAKE
-312.9121,72.3774,93.2044,0.081,334.4242,7.9544,0.0059,346.9643,617.4147,0.0879,1.6e-05,-0.0346,-0.0596,-0.0525,SHAKE
-326.2828,34.5238,93.401,0.0777,341.1394,6.7153,0.0033,336.6621,100.6181,0.0858,3.2e-05,-0.031,-0.0532,-0.0583,SHAKE
-346.1856,0.0472,97.0614,0.0776,359.535,18.3955,0.0001,337.824,145.6711,0.0827,2.7e-05,-0.0282,-0.0469,-0.0611,SHAKE
